time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
99.0,-1.1075694798892988,-0.055286688995333934,-1.1108736062248463,-0.35515323628661205,-0.5512801357090097,0.34885833175812536,962.3148215008274
100.0,-1.109022687532344,-0.05516215974534098,-1.1113595927525561,-0.35032694966198585,-0.548934614425029,0.33440277012897457,962.3148215008274
101.0,-1.1101102430569099,-0.055025407616699544,-1.1116751343225357,-0.3456633074585297,-0.5465287648680336,0.3198825323856772,962.3148215008274
102.0,-1.1109847199686418,-0.05489664574918167,-1.1119319819555973,-0.3410801834430109,-0.5438746695319933,0.30549142883361957,962.3148215008274
103.0,-1.1116947538084458,-0.05479773332485562,-1.112051364179737,-0.33690443466698544,-0.5411655200335582,0.2910707580253322,962.3148215008274
104.0,-1.1121880347152149,-0.05490975887604557,-1.112135075533046,-0.33293836371471847,-0.5387712453170933,0.27665182026181384,962.3148215008274
105.0,-1.1125478832941544,-0.05509789526336214,-1.112103964376893,-0.3293348950255099,-0.5360769809673066,0.2623702747802845,962.3148215008274
106.0,-1.1128623822224075,-0.05543998565512124,-1.1118916938917671,-0.3260874009322066,-0.5335314499015268,0.24819412783342992,962.3148215008274
107.0,-1.1131416256868107,-0.05584243199357329,-1.1117317368439,-0.32298625048648266,-0.5310299615784584,0.23406026799817284,962.3148215008274
108.0,-1.1133979467424355,-0.05624973166836626,-1.1118267672023956,-0.32014583948909847,-0.5285195568391683,0.21981888173452924,962.3148215008274
109.0,-1.1136094745095053,-0.056567988004134345,-1.1119826388990963,-0.3177448678129978,-0.5258942013954848,0.2056621636148443,962.3148215008274
110.0,-1.113958548667595,-0.056905817594241806,-1.1121501524979978,-0.31562605045868175,-0.5232262989267694,0.19154395453095308,962.3148215008274
111.0,-1.114439498154465,-0.05722666231980816,-1.1123904088948122,-0.31406243252798016,-0.5209714787624792,0.17734923052251564,962.3148215008274
112.0,-1.115036237622502,-0.05751757140369398,-1.112540887968462,-0.3130103080179959,-0.5191473144657189,0.16309143296887688,962.3148215008274
113.0,-1.1157184643418492,-0.05771210144992617,-1.1124166711227828,-0.3122791329070173,-0.5178847645603581,0.14894085684332115,962.3148215008274
114.0,-1.1163718916754672,-0.057936191045164176,-1.112046895419038,-0.31192200524883484,-0.5171376190654124,0.13511323521898563,962.3148215008274
115.0,-1.1168054982402469,-0.058138137539141335,-1.1113652065254487,-0.31191852996328223,-0.5166244747521628,0.12164088667484424,962.3148215008274
116.0,-1.1169589512811942,-0.058376228220507025,-1.1105838464664617,-0.3121162233445375,-0.5161094913802166,0.10849388207293026,962.3148215008274
117.0,-1.1169092067384567,-0.058651645145259244,-1.1097552076671622,-0.31254257667512,-0.5155974097027171,0.0956963756067797,962.3148215008274
118.0,-1.1167173082384547,-0.05895633821771659,-1.1090850659515454,-0.313293336005422,-0.5150575807335998,0.08316944158884562,962.3148215008274
119.0,-1.11643486736367,-0.059247113150636625,-1.1086179528671305,-0.3142390332085876,-0.5146820085700918,0.07093497767307094,962.3148215008274
120.0,-1.1161632414001654,-0.05951688881132596,-1.1083085746034977,-0.31534788357735477,-0.5145196772421023,0.0591956456653269,962.3148215008274
121.0,-1.1160135175356383,-0.059795989583197005,-1.1080645420561381,-0.3164640826373203,-0.5146269906153409,0.047521490825463385,962.3148215008274
122.0,-1.1161123836640678,-0.060022674903526196,-1.1078913942702726,-0.3174064934325865,-0.5148666034559906,0.035951135528718876,962.3148215008274
123.0,-1.1164540943475574,-0.06019333687198352,-1.1076166109560783,-0.31822722746234233,-0.5149756304173382,0.024648391428651564,962.3148215008274
